CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=43  |  results -> results/robust_classification/run_20260630_223516_seed43
============================================================

Training robust_classification for 200 epochs
  Batch  64 | t=[0,0] | loss=0.4622 | acc=13/16 | MISCLASSIFIED: [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=0 true=1 t=0
  Batch  65 | t=[0,0] | loss=0.5058 | acc=13/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  66 | t=[0,0] | loss=0.8508 | acc=8/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=1 true=0 t=0
  Batch  67 | t=[0,0] | loss=0.5434 | acc=10/16 | MISCLASSIFIED: [3] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [6] pred=0 true=1 t=0, [8] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  68 | t=[0,0] | loss=0.7355 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  69 | t=[0,0] | loss=0.5341 | acc=12/16 | MISCLASSIFIED: [9] pred=1 true=0 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  70 | t=[0,0] | loss=0.6686 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  71 | t=[0,0] | loss=0.6200 | acc=10/16 | MISCLASSIFIED: [2] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [12] pred=1 true=0 t=0
  Batch  72 | t=[0,0] | loss=0.6404 | acc=9/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  73 | t=[0,0] | loss=1.0844 | acc=7/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  74 | t=[0,0] | loss=0.5886 | acc=12/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=1 true=0 t=0
  Batch  75 | t=[0,0] | loss=0.6460 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [10] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch  76 | t=[0,0] | loss=0.5401 | acc=11/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  77 | t=[0,0] | loss=0.5604 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [7] pred=0 true=1 t=0
  Batch  78 | t=[0,0] | loss=0.6845 | acc=8/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [10] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0
  Batch  79 | t=[0,0] | loss=0.6215 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [13] pred=1 true=0 t=0, [14] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  80 | t=[0,0] | loss=0.7594 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  81 | t=[0,0] | loss=0.4938 | acc=11/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0
  Batch  82 | t=[0,0] | loss=0.7333 | acc=9/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [3] pred=1 true=0 t=0, [5] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [12] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  83 | t=[0,0] | loss=0.7144 | acc=11/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [15] pred=1 true=0 t=0
  Batch  84 | t=[0,0] | loss=0.5598 | acc=12/16 | MISCLASSIFIED: [7] pred=0 true=1 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  85 | t=[0,0] | loss=0.6481 | acc=10/14 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [7] pred=0 true=1 t=0, [12] pred=1 true=0 t=0
Epoch 0 [warmup] | Loss: 0.6813 | Val Loss: 0.8547 | Val Acc: 47.8% | LR: 6.39e-04
--- Saved model to checkpoints/robust_classification/state.pt ---
--- Saved model to checkpoints/robust_classification_best/state.pt ---
  ** New best metric: 47.8% — saved to checkpoints/robust_classification_best
  Batch   0 | t=[0,4] | loss=0.7818 | acc=8/16 | MISCLASSIFIED: [2] pred=0 true=1 t=4, [3] pred=0 true=1 t=0, [4] pred=1 true=0 t=3, [8] pred=1 true=0 t=2, [11] pred=0 true=1 t=0, [12] pred=1 true=0 t=3, [13] pred=1 true=0 t=1, [15] pred=1 true=0 t=0
  Batch   1 | t=[0,3] | loss=0.7512 | acc=7/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=0 true=1 t=3, [3] pred=1 true=0 t=1, [4] pred=0 true=1 t=2, [5] pred=1 true=0 t=2, [7] pred=1 true=0 t=0, [9] pred=0 true=1 t=0, [13] pred=1 true=0 t=3, [15] pred=0 true=1 t=3
