CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader mirabest_fits_png
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 1221
Total batches: 54 (at batch size 16)

============================================================
Run 1/1  |  seed=44  |  results -> results/robust_classification/run_20260515_182132_seed44
============================================================

Training robust_classification for 200 epochs
  Batch  28 | t=[0,4] | loss=0.7874 | acc=8/16 | MISCLASSIFIED: [0] pred=1 true=0 t=3, [2] pred=1 true=0 t=0, [4] pred=1 true=0 t=1, [9] pred=0 true=1 t=3, [10] pred=1 true=0 t=4, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  29 | t=[0,4] | loss=0.6661 | acc=10/16 | MISCLASSIFIED: [0] pred=1 true=0 t=4, [1] pred=0 true=1 t=0, [5] pred=1 true=0 t=4, [6] pred=1 true=0 t=2, [13] pred=1 true=0 t=0, [15] pred=0 true=1 t=3
  Batch  30 | t=[0,4] | loss=0.6472 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=3, [1] pred=1 true=0 t=0, [3] pred=0 true=1 t=2, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=3, [15] pred=1 true=0 t=1
  Batch  31 | t=[0,4] | loss=0.6410 | acc=10/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=4, [3] pred=1 true=0 t=0, [4] pred=0 true=1 t=0, [5] pred=1 true=0 t=2, [14] pred=1 true=0 t=2
  Batch  32 | t=[0,4] | loss=0.7415 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=1, [1] pred=1 true=0 t=0, [4] pred=1 true=0 t=3, [5] pred=1 true=0 t=2, [13] pred=0 true=1 t=4, [14] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch  33 | t=[0,4] | loss=0.6130 | acc=12/16 | MISCLASSIFIED: [2] pred=0 true=1 t=1, [3] pred=1 true=0 t=2, [13] pred=1 true=0 t=4, [14] pred=0 true=1 t=4
  Batch  34 | t=[0,4] | loss=0.5071 | acc=13/16 | MISCLASSIFIED: [2] pred=0 true=1 t=3, [3] pred=0 true=1 t=1, [6] pred=0 true=1 t=0
  Batch  35 | t=[0,4] | loss=0.6065 | acc=10/16 | MISCLASSIFIED: [2] pred=1 true=0 t=4, [6] pred=1 true=0 t=2, [8] pred=0 true=1 t=4, [9] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=0 true=1 t=1
  Batch  36 | t=[0,4] | loss=0.6730 | acc=8/16 | MISCLASSIFIED: [1] pred=0 true=1 t=4, [2] pred=1 true=0 t=3, [3] pred=0 true=1 t=3, [5] pred=0 true=1 t=1, [9] pred=0 true=1 t=1, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=1, [14] pred=0 true=1 t=3
  Batch  37 | t=[0,4] | loss=0.5593 | acc=11/16 | MISCLASSIFIED: [5] pred=0 true=1 t=4, [7] pred=0 true=1 t=0, [9] pred=0 true=1 t=4, [12] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
