CUDA Memory Cleared. Current VRAM Usage: 0.00 MB
On device cuda
Getting data loader crumb
Total unique classes found: 2
Label IDs: [0, 1]
Total images in dataset: 2003
Total batches: 86 (at batch size 16)

============================================================
Run 1/1  |  seed=42  |  results -> results/robust_classification/run_20260701_095352_seed42
============================================================

Training robust_classification for 200 epochs
  Batch  59 | t=[0,0] | loss=0.6544 | acc=11/16 | MISCLASSIFIED: [3] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [8] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  60 | t=[0,0] | loss=0.4205 | acc=14/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=1 true=0 t=0
  Batch  61 | t=[0,0] | loss=0.6468 | acc=9/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [7] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [10] pred=1 true=0 t=0
  Batch  62 | t=[0,0] | loss=0.5656 | acc=12/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [1] pred=0 true=1 t=0, [3] pred=0 true=1 t=0, [5] pred=1 true=0 t=0
  Batch  63 | t=[0,0] | loss=0.5421 | acc=12/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [14] pred=1 true=0 t=0
  Batch  64 | t=[0,0] | loss=0.9923 | acc=7/16 | MISCLASSIFIED: [1] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [8] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [13] pred=1 true=0 t=0, [14] pred=0 true=1 t=0, [15] pred=1 true=0 t=0
  Batch  65 | t=[0,0] | loss=0.6705 | acc=11/16 | MISCLASSIFIED: [0] pred=1 true=0 t=0, [2] pred=1 true=0 t=0, [3] pred=1 true=0 t=0, [9] pred=1 true=0 t=0, [14] pred=0 true=1 t=0
  Batch  66 | t=[0,0] | loss=0.6398 | acc=12/16 | MISCLASSIFIED: [6] pred=1 true=0 t=0, [11] pred=1 true=0 t=0, [12] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  67 | t=[0,0] | loss=0.4664 | acc=13/16 | MISCLASSIFIED: [4] pred=1 true=0 t=0, [5] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  68 | t=[0,0] | loss=0.6002 | acc=10/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [5] pred=1 true=0 t=0, [8] pred=0 true=1 t=0, [9] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  69 | t=[0,0] | loss=0.5026 | acc=14/16 | MISCLASSIFIED: [7] pred=0 true=1 t=0, [12] pred=0 true=1 t=0
  Batch  70 | t=[0,0] | loss=0.8099 | acc=7/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [4] pred=0 true=1 t=0, [5] pred=0 true=1 t=0, [6] pred=1 true=0 t=0, [11] pred=0 true=1 t=0, [12] pred=0 true=1 t=0, [13] pred=0 true=1 t=0, [14] pred=0 true=1 t=0, [15] pred=0 true=1 t=0
  Batch  71 | t=[0,0] | loss=0.4998 | acc=12/16 | MISCLASSIFIED: [1] pred=0 true=1 t=0, [4] pred=1 true=0 t=0, [6] pred=0 true=1 t=0, [10] pred=0 true=1 t=0
  Batch  72 | t=[0,0] | loss=0.6508 | acc=9/16 | MISCLASSIFIED: [0] pred=0 true=1 t=0, [2] pred=1 true=0 t=0, [3] pred=0 true=1 t=0, [7] pred=0 true=1 t=0, [11] pred=1 true=0 t=0, [12] pred=1 true=0 t=0, [13] pred=0 true=1 t=0
  Batch  73 | t=[0,0] | loss=0.7174 | acc=11/16 | MISCLASSIFIED: [5] pred=1 true=0 t=0, [6] pred=1 true=0 t=0, [7] pred=1 true=0 t=0, [10] pred=1 true=0 t=0, [13] pred=1 true=0 t=0
